Less Than High School Diploma,At Least High School Diploma,White (Not Latino) Population,African American Population,Asian American Population,Average Unemployment %,"Poverty Percent, All Ages",Graduate Degree,At Least Bachelors's Degree,1824tot_per,1824M_per,1824F_per,2544tot_per,2544M_per,2544F_per,4564tot_per,4564M_per,4564F_per,65tot_per,65M_per,65F_per,Republicans Previous Year,Democrats Previous Year,log_gdp,Geographic Area Name_x,id,Republicans Target Year,Democrats Target Year
0.1799685528633944,0.3144145338814481,0.2101770834782367,0.010029629835714385,0.002225715358827048,12.7     ,42.8,0.053024418891014835,0.05685111864663648,0.12414700163928176,0.06141588197171286,0.0627311196675689,0.33170675917807174,0.17401166558651976,0.15769509359155198,0.32810415157637907,0.15794289199801761,0.17016125957836148,0.2160420876062674,0.09776600205863291,0.11827608554763448,0.285,0.654,6.396233531179454,"Apache County, Arizona",4001,0.327,0.6609999999999999
0.12373760349376763,0.2712724552411569,0.8590794301234097,0.048942996458124874,0.022196280236972094,6.6     ,27.6,0.0894368119370394,0.13556546265126013,0.10312383146873642,0.05782776986124165,0.04529606160749477,0.30090248511859646,0.16211381620834975,0.1387886689102467,0.30170087620895614,0.1466513052178395,0.15504957099111663,0.294272807203711,0.14039555730729972,0.15387724989641127,0.58,0.354,6.661749287162131,"Cochise County, Arizona",4003,0.5820000000000001,0.39899999999999997
0.0589412060170952,0.22403027600003464,0.6387758231341827,0.009506816471047423,0.019027572555688755,9.7     ,38.0,0.1456642793428653,0.17825254825887019,0.25819779300245804,0.11750605791189443,0.1406917350905636,0.314314104910831,0.16277914335024318,0.15153496156058782,0.2648222721963635,0.1296654638007078,0.13515680839565575,0.16266582989034745,0.07749769014870213,0.0851681397416453,0.369,0.563,6.830247000522433,"Coconino County, Arizona",4005,0.37,0.61
0.12144073289202514,0.23927584675099586,0.7908199778214452,0.05933186992326684,0.04287251968268704,7.5     ,21.0,0.12293011163786512,0.2018307736001573,0.12115960030014775,0.06206568295263352,0.05909391734751423,0.3619952484375073,0.18296341133756833,0.17903183709993895,0.3140091861987966,0.15306136716365043,0.16094781903514618,0.20283596506354837,0.09144194424895484,0.11139402081459351,0.491,0.457,8.36138985553173,"Maricopa County, Arizona",4013,0.48200000000000004,0.503
0.13602075027183763,0.34791251359188113,0.8895989744604842,0.0070505841710614995,0.00906301695250753,9.1     ,29.3,0.04842673976078289,0.08186843059079377,0.07198199319089253,0.038309712592324484,0.03367228059856805,0.2325954915112373,0.12377419099433329,0.108821300516904,0.3226747802875208,0.15724287701756567,0.1654319032699551,0.3727477350103494,0.18542375948694167,0.1873239755234077,0.737,0.222,6.716085684743698,"Mohave County, Arizona",4015,0.75,0.237
0.17072932202146646,0.3016063176939439,0.4621362374238217,0.011800872669575566,0.0017399300421910497,9.6     ,40.7,0.05650228600767707,0.06537737463631696,0.10872328981467899,0.057307711114370934,0.05141557870030805,0.31030267468583445,0.16125128355581633,0.14905139113001808,0.3263532345606572,0.15841523641875702,0.16793799814190016,0.2546208009388294,0.12032418952618454,0.13429661141264485,0.513,0.434,6.480132898851235,"Navajo County, Arizona",4017,0.534,0.452
0.11931732784399637,0.23644749799500525,0.7594833850387528,0.03661202029258679,0.027954346454001272,7.9     ,25.1,0.13163226412303874,0.1761858326529778,0.14594361348699236,0.07389070786036069,0.07205290562663166,0.3077279043044718,0.15793800752909953,0.14978989677537224,0.2908463265590669,0.13954796555653315,0.15129836100253374,0.25548215564946897,0.11609885909621959,0.13938329655324938,0.408,0.542,7.624998348666627,"Pima County, Arizona",4019,0.397,0.588
0.1446743065271948,0.3104081995247296,0.7928624059776702,0.04594750523456694,0.014352112949962078,7.6     ,22.5,0.05402314167055322,0.13084093988051612,0.10061177776236388,0.05711313033224665,0.04349864743011722,0.3367940625650274,0.18894638274259554,0.14784767982243185,0.29467156828743846,0.14915447041686897,0.14551709787056946,0.2679225913851703,0.1287119372962475,0.1392106540889228,0.574,0.381,6.883102567340109,"Pinal County, Arizona",4021,0.5770000000000001,0.405
0.0923498979447487,0.2644999292686377,0.8891147984466119,0.008592125019672563,0.010816719764865014,6.9     ,22.4,0.12020795020512096,0.14544388982074652,0.0762407399910942,0.04139679391167065,0.03484394607942355,0.21234769056389913,0.10828644294215277,0.10406124762174634,0.32462656357527425,0.15098368619196048,0.17364287738331377,0.3867850058697324,0.18300914868639437,0.20377585718333804,0.634,0.32,6.819032746574844,"Yavapai County, Arizona",4025,0.639,0.34600000000000003
0.2406376391870974,0.26832526089778796,0.8846047701684386,0.015173981579796714,0.011169996304733216,15.6     ,31.5,0.04862186048834074,0.08289434263743946,0.14668139659713642,0.0861014367923704,0.060579959804766007,0.3333395748292951,0.1808972774594615,0.1524422973698336,0.26219276236128275,0.1271704802206993,0.13502228214058346,0.2577862662122858,0.12295747044651661,0.13482879576576914,0.505,0.45,6.899096311848891,"Yuma County, Arizona",4027,0.523,0.461
