Democrats 2016,Republicans 2016,Democrats 2012,Republicans 2012,State,County,Less Than High School Diploma,At Least High School Diploma,White (Not Latino) Population,Asian American Population,African American Population,Construction.extraction.maintenance.and.repair.occupations,Average Unemployment % 2016,"Poverty Percent, All Ages",realGDP2016,At Least Bachelors's Degree,Graduate Degree,AGE18PLUS_TOT,1824tot_per,1824M_per,1824F_per,2544tot_per,2544M_per,2544F_per,4564tot_per,4564M_per,4564F_per,65tot_per,65M_per,65F_per
33.264033264033266,62.176022176022165,45.08474576271186,53.58757062146893,Michigan,"Presque Isle County, Michigan",14.7,85.3,97.05,0.2,0.30000000000000004,13.85,9.6,14.7,393475,14.3,4.7,10666,0.07050440652540783,0.03703356459778736,0.033470841927620475,0.1931370710669417,0.09741233827114194,0.09572473279579974,0.3760547534220889,0.18582411400712545,0.19023063941496343,0.3603037689855616,0.17841740108756798,0.18188636789799362
41.08801415302963,53.56547477290511,50.177447837193746,48.57613112280762,Michigan,"Calhoun County, Michigan",12.9,87.1,80.65,1.6,10.45,8.35,4.8,16.8,5594998,18.8,6.5,103169,0.1189892312613285,0.06109393325514447,0.05789529800618403,0.30840659500431333,0.1514311469530576,0.1569754480512557,0.35296455330574106,0.1733078734891295,0.17965667981661157,0.21963962042861712,0.09642431350502574,0.1232153069235914
28.744693753790173,66.85870224378411,40.31609027818277,58.5233568554266,Michigan,"Branch County, Michigan",13.4,86.6,90.35,0.6000000000000001,3.05,8.05,4.8,16.8,1245185,14.1,4.8,33214,0.10143313060757513,0.05419401457216836,0.04723911603540676,0.30968868549406875,0.17065093033058348,0.13903775516348527,0.3626482808454266,0.1894682965014753,0.17317998434395135,0.22622990305292948,0.10305895104474017,0.12317095200818932
36.85524615203854,56.491599107037956,51.061492324593964,47.394518839633,Michigan,"Shiawassee County, Michigan",10.7,89.3,95.45,0.30000000000000004,0.45,12.05,5.3,12.0,1602095,14.9,5.6,53719,0.11029617081479551,0.057763547348238055,0.05253262346655746,0.2895809676278412,0.14661479178689105,0.14296617584095012,0.37956775070273086,0.18652618254248962,0.19304156816024126,0.22055511085463245,0.0990897075522627,0.12146540330236974
34.247700394218136,61.432325886990796,43.48253812100344,55.697655353336614,Michigan,"Mackinac County, Michigan",10.9,89.1,76.8,0.6000000000000001,1.65,13.85,9.9,13.7,616120,20.1,7.6,8985,0.07879799666110184,0.04307178631051753,0.035726210350584306,0.22092376182526433,0.11407902058987202,0.10684474123539232,0.38430717863105174,0.193322203672788,0.19098497495826378,0.3159710628825821,0.1550361713967724,0.1609348914858097
21.435419805506093,73.77071634022738,32.360893695744984,66.38679379536076,Michigan,"Missaukee County, Michigan",14.4,85.6,95.9,0.25,0.35000000000000003,10.75,6.0,14.7,336450,12.9,3.9,11532,0.09972251127297954,0.054457162677766215,0.04526534859521332,0.27306625043357613,0.13787721123829344,0.1351890391952827,0.3696670135275754,0.1901664932362123,0.17950052029136315,0.2575442247658689,0.1240027748872702,0.13354144987859867
48.76432501443901,44.52077697054443,56.26824874200162,42.26253339131515,Michigan,"Marquette County, Michigan",8.3,91.7,93.35,0.6000000000000001,1.6,10.4,5.7,15.1,3188673,29.7,9.0,54478,0.18508388707368112,0.09236756121737215,0.09271632585630897,0.2734131208928375,0.14361760710745622,0.12979551378538126,0.32229523844487684,0.16116597525606666,0.16112926318881016,0.2192077535886046,0.10646499504387091,0.11274275854473366
36.87893631910428,56.962911126662,41.81034482758621,55.603448275862064,Michigan,"Keweenaw County, Michigan",9.2,90.8,97.7,0.0,0.05,12.45,8.6,12.3,58432,22.0,7.7,1791,0.06197654941373534,0.036292573981016193,0.02568397543271915,0.19151312116136238,0.0977107761027359,0.09380234505862646,0.3489670575097711,0.17141261864879956,0.17755443886097153,0.3975432719151312,0.21328866554997208,0.18425460636515914
44.057752397370976,49.57799087741982,50.94728772723954,47.815215010586265,Michigan,"Eaton County, Michigan",7.6,92.4,85.7,1.6,5.95,7.9,4.1,11.2,4309150,24.3,8.5,85857,0.11350268469664675,0.05846931525676415,0.055033369439882594,0.3060787122773915,0.1528471761184295,0.15323153615896198,0.3594348742676777,0.1729154291438089,0.18651944512386875,0.22098372875828412,0.09965407596352074,0.12132965279476339
28.646251481439005,66.60167450395687,43.937238010998726,54.762911971695566,Michigan,"Tuscola County, Michigan",15.2,84.8,94.2,0.30000000000000004,1.2,11.3,6.3,13.6,1326081,12.4,3.9,42150,0.09845788849347568,0.05117437722419929,0.04728351126927639,0.277508896797153,0.14241992882562277,0.13508896797153025,0.3785290628706999,0.18906287069988137,0.1894661921708185,0.24550415183867141,0.11416370106761566,0.13134045077105574
40.65180948624396,53.33546987476581,46.364215623805286,52.631578947368425,Michigan,"Clinton County, Michigan",7.0,93.0,91.75,1.05,1.8,7.8,3.7,8.4,1705952,27.2,9.7,59935,0.11023608909652123,0.05799616250938517,0.05223992658713606,0.30846750646533744,0.15319929924084424,0.1552682072244932,0.3756903311921248,0.18448319012263284,0.19120714106949194,0.2056060732460165,0.09542003837490615,0.11018603487111037
33.161216293746406,61.904761904761905,45.10028653295129,53.46704871060172,Michigan,"Baraga County, Michigan",17.8,82.2,74.8,0.25,7.25,8.2,8.2,16.5,246983,11.4,3.1,6959,0.10073286391722949,0.06265267998275614,0.03808018393447334,0.28538583129760026,0.18307228050007185,0.10231355079752838,0.35781003017674956,0.1919816065526656,0.16582842362408393,0.2560712746084208,0.12271878143411409,0.13335249317430664
