"CAGDP1 Gross Domestic Product (GDP) summary by county and metropolitan area"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2016"
"12017","Citrus, FL","3","Current-dollar GDP (thousands of current dollars)",3701656
"12019","Clay, FL","1","Real GDP (thousands of chained 2012 dollars)",4230998
"12019","Clay, FL","2","Chain-type quantity indexes for real GDP",113.938
"12019","Clay, FL","3","Current-dollar GDP (thousands of current dollars)",4604266
"12021","Collier, FL","1","Real GDP (thousands of chained 2012 dollars)",14926141
"12021","Collier, FL","2","Chain-type quantity indexes for real GDP",120.105
"12021","Collier, FL","3","Current-dollar GDP (thousands of current dollars)",16285871
"12023","Columbia, FL","1","Real GDP (thousands of chained 2012 dollars)",2043138
"12023","Columbia, FL","2","Chain-type quantity indexes for real GDP",113.144
"12023","Columbia, FL","3","Current-dollar GDP (thousands of current dollars)",2118850
"12027","DeSoto, FL","1","Real GDP (thousands of chained 2012 dollars)",832295
"12027","DeSoto, FL","2","Chain-type quantity indexes for real GDP",104.516
"12027","DeSoto, FL","3","Current-dollar GDP (thousands of current dollars)",854310
"12029","Dixie, FL","1","Real GDP (thousands of chained 2012 dollars)",264745
"12029","Dixie, FL","2","Chain-type quantity indexes for real GDP",108.930
"12029","Dixie, FL","3","Current-dollar GDP (thousands of current dollars)",285273
"12031","Duval, FL","1","Real GDP (thousands of chained 2012 dollars)",54932423
"12031","Duval, FL","2","Chain-type quantity indexes for real GDP",113.041
"12031","Duval, FL","3","Current-dollar GDP (thousands of current dollars)",59630564
"12033","Escambia, FL","1","Real GDP (thousands of chained 2012 dollars)",13455692
"12033","Escambia, FL","2","Chain-type quantity indexes for real GDP",105.081
"12033","Escambia, FL","3","Current-dollar GDP (thousands of current dollars)",14661235
"12035","Flagler, FL","1","Real GDP (thousands of chained 2012 dollars)",2036334
"12035","Flagler, FL","2","Chain-type quantity indexes for real GDP",115.546
"12035","Flagler, FL","3","Current-dollar GDP (thousands of current dollars)",2214211
"12037","Franklin, FL","1","Real GDP (thousands of chained 2012 dollars)",326130
"12037","Franklin, FL","2","Chain-type quantity indexes for real GDP",92.782
"12037","Franklin, FL","3","Current-dollar GDP (thousands of current dollars)",358960
"12039","Gadsden, FL","1","Real GDP (thousands of chained 2012 dollars)",1152756
"12039","Gadsden, FL","2","Chain-type quantity indexes for real GDP",92.432
"12039","Gadsden, FL","3","Current-dollar GDP (thousands of current dollars)",1209626
"12041","Gilchrist, FL","1","Real GDP (thousands of chained 2012 dollars)",362490
"12041","Gilchrist, FL","2","Chain-type quantity indexes for real GDP",115.915
"12041","Gilchrist, FL","3","Current-dollar GDP (thousands of current dollars)",351561
"12043","Glades, FL","1","Real GDP (thousands of chained 2012 dollars)",253267
"12043","Glades, FL","2","Chain-type quantity indexes for real GDP",98.686
"12043","Glades, FL","3","Current-dollar GDP (thousands of current dollars)",250193
"12045","Gulf, FL","1","Real GDP (thousands of chained 2012 dollars)",364695
"12045","Gulf, FL","2","Chain-type quantity indexes for real GDP",101.423
"12045","Gulf, FL","3","Current-dollar GDP (thousands of current dollars)",397924
"12047","Hamilton, FL","1","Real GDP (thousands of chained 2012 dollars)",370897
"12047","Hamilton, FL","2","Chain-type quantity indexes for real GDP",93.881
"12047","Hamilton, FL","3","Current-dollar GDP (thousands of current dollars)",412420
"12049","Hardee, FL","1","Real GDP (thousands of chained 2012 dollars)",1213281
"12049","Hardee, FL","2","Chain-type quantity indexes for real GDP",108.416
"12049","Hardee, FL","3","Current-dollar GDP (thousands of current dollars)",1156126
"12051","Hendry, FL","1","Real GDP (thousands of chained 2012 dollars)",1253739
"12051","Hendry, FL","2","Chain-type quantity indexes for real GDP",107.102
"12051","Hendry, FL","3","Current-dollar GDP (thousands of current dollars)",1213172
"12053","Hernando, FL","1","Real GDP (thousands of chained 2012 dollars)",3495017
"12053","Hernando, FL","2","Chain-type quantity indexes for real GDP",109.186
"12053","Hernando, FL","3","Current-dollar GDP (thousands of current dollars)",3815406
"12055","Highlands, FL","1","Real GDP (thousands of chained 2012 dollars)",2526899
"12055","Highlands, FL","2","Chain-type quantity indexes for real GDP",106.385
"12055","Highlands, FL","3","Current-dollar GDP (thousands of current dollars)",2599462
"12057","Hillsborough, FL","1","Real GDP (thousands of chained 2012 dollars)",75304750
"12057","Hillsborough, FL","2","Chain-type quantity indexes for real GDP",111.632
"12057","Hillsborough, FL","3","Current-dollar GDP (thousands of current dollars)",81160729
"12059","Holmes, FL","1","Real GDP (thousands of chained 2012 dollars)",317913
"12059","Holmes, FL","2","Chain-type quantity indexes for real GDP",96.484
"12059","Holmes, FL","3","Current-dollar GDP (thousands of current dollars)",342877
"12061","Indian River, FL","1","Real GDP (thousands of chained 2012 dollars)",5047825
"12061","Indian River, FL","2","Chain-type quantity indexes for real GDP",112.126
"12061","Indian River, FL","3","Current-dollar GDP (thousands of current dollars)",5456018
"12063","Jackson, FL","1","Real GDP (thousands of chained 2012 dollars)",1154854
"12063","Jackson, FL","2","Chain-type quantity indexes for real GDP",98.622
"12063","Jackson, FL","3","Current-dollar GDP (thousands of current dollars)",1265621
"12065","Jefferson, FL","1","Real GDP (thousands of chained 2012 dollars)",305566
"12065","Jefferson, FL","2","Chain-type quantity indexes for real GDP",109.496
"12065","Jefferson, FL","3","Current-dollar GDP (thousands of current dollars)",303293
"12067","Lafayette, FL","1","Real GDP (thousands of chained 2012 dollars)",199505
"12067","Lafayette, FL","2","Chain-type quantity indexes for real GDP",106.156
"12067","Lafayette, FL","3","Current-dollar GDP (thousands of current dollars)",182916
"12069","Lake, FL","1","Real GDP (thousands of chained 2012 dollars)",7706726
"12069","Lake, FL","2","Chain-type quantity indexes for real GDP",112.555
"12069","Lake, FL","3","Current-dollar GDP (thousands of current dollars)",8350736
"12071","Lee, FL","1","Real GDP (thousands of chained 2012 dollars)",25401906
"12071","Lee, FL","2","Chain-type quantity indexes for real GDP",117.087
"12071","Lee, FL","3","Current-dollar GDP (thousands of current dollars)",27693630
"12073","Leon, FL","1","Real GDP (thousands of chained 2012 dollars)",13337263
"12073","Leon, FL","2","Chain-type quantity indexes for real GDP",103.651
"12073","Leon, FL","3","Current-dollar GDP (thousands of current dollars)",14577282
"12075","Levy, FL","1","Real GDP (thousands of chained 2012 dollars)",1078963
"12075","Levy, FL","2","Chain-type quantity indexes for real GDP",153.075
"12075","Levy, FL","3","Current-dollar GDP (thousands of current dollars)",1130736
"12077","Liberty, FL","1","Real GDP (thousands of chained 2012 dollars)",174480
"12077","Liberty, FL","2","Chain-type quantity indexes for real GDP",94.320
"12077","Liberty, FL","3","Current-dollar GDP (thousands of current dollars)",191539
"12079","Madison, FL","1","Real GDP (thousands of chained 2012 dollars)",475043
"12079","Madison, FL","2","Chain-type quantity indexes for real GDP",112.708
"12079","Madison, FL","3","Current-dollar GDP (thousands of current dollars)",519661
"12081","Manatee, FL","1","Real GDP (thousands of chained 2012 dollars)",11902949
"12081","Manatee, FL","2","Chain-type quantity indexes for real GDP",116.752
"12081","Manatee, FL","3","Current-dollar GDP (thousands of current dollars)",12921616
"12083","Marion, FL","1","Real GDP (thousands of chained 2012 dollars)",8846178
"12083","Marion, FL","2","Chain-type quantity indexes for real GDP",113.628
"12083","Marion, FL","3","Current-dollar GDP (thousands of current dollars)",9602496
"12085","Martin, FL","1","Real GDP (thousands of chained 2012 dollars)",6603563
"12085","Martin, FL","2","Chain-type quantity indexes for real GDP",106.044
"12085","Martin, FL","3","Current-dollar GDP (thousands of current dollars)",7110133
"12086","Miami-Dade, FL","1","Real GDP (thousands of chained 2012 dollars)",136396875
"12086","Miami-Dade, FL","2","Chain-type quantity indexes for real GDP",114.189
"12086","Miami-Dade, FL","3","Current-dollar GDP (thousands of current dollars)",148098873
"12087","Monroe, FL","1","Real GDP (thousands of chained 2012 dollars)",4094692
"12087","Monroe, FL","2","Chain-type quantity indexes for real GDP",106.101
"12087","Monroe, FL","3","Current-dollar GDP (thousands of current dollars)",4507892
"12089","Nassau, FL","1","Real GDP (thousands of chained 2012 dollars)",2035963
"12089","Nassau, FL","2","Chain-type quantity indexes for real GDP",103.632
"12089","Nassau, FL","3","Current-dollar GDP (thousands of current dollars)",2232457
"12091","Okaloosa, FL","1","Real GDP (thousands of chained 2012 dollars)",9792508
"12091","Okaloosa, FL","2","Chain-type quantity indexes for real GDP",104.582
"12091","Okaloosa, FL","3","Current-dollar GDP (thousands of current dollars)",10576420
"12093","Okeechobee, FL","1","Real GDP (thousands of chained 2012 dollars)",1154890
"12093","Okeechobee, FL","2","Chain-type quantity indexes for real GDP",116.482
"12093","Okeechobee, FL","3","Current-dollar GDP (thousands of current dollars)",1150367
"12095","Orange, FL","1","Real GDP (thousands of chained 2012 dollars)",81146561
"12095","Orange, FL","2","Chain-type quantity indexes for real GDP",116.918
"12095","Orange, FL","3","Current-dollar GDP (thousands of current dollars)",87884180
"12097","Osceola, FL","1","Real GDP (thousands of chained 2012 dollars)",7896106
"12097","Osceola, FL","2","Chain-type quantity indexes for real GDP",113.040
"12097","Osceola, FL","3","Current-dollar GDP (thousands of current dollars)",8620936
"12099","Palm Beach, FL","1","Real GDP (thousands of chained 2012 dollars)",67751333
"12099","Palm Beach, FL","2","Chain-type quantity indexes for real GDP",115.756
"12099","Palm Beach, FL","3","Current-dollar GDP (thousands of current dollars)",73701157
"12101","Pasco, FL","1","Real GDP (thousands of chained 2012 dollars)",10582469
"12101","Pasco, FL","2","Chain-type quantity indexes for real GDP",112.328
"12101","Pasco, FL","3","Current-dollar GDP (thousands of current dollars)",11541181
"12103","Pinellas, FL","1","Real GDP (thousands of chained 2012 dollars)",44233572
"12103","Pinellas, FL","2","Chain-type quantity indexes for real GDP",109.885
"12103","Pinellas, FL","3","Current-dollar GDP (thousands of current dollars)",47730227
"12105","Polk, FL","1","Real GDP (thousands of chained 2012 dollars)",20928287
"12105","Polk, FL","2","Chain-type quantity indexes for real GDP",105.158
"12105","Polk, FL","3","Current-dollar GDP (thousands of current dollars)",22577654
"12107","Putnam, FL","1","Real GDP (thousands of chained 2012 dollars)",1972144
"12107","Putnam, FL","2","Chain-type quantity indexes for real GDP",92.653
"12107","Putnam, FL","3","Current-dollar GDP (thousands of current dollars)",2150805
"12109","St. Johns, FL","1","Real GDP (thousands of chained 2012 dollars)",6634305
"12109","St. Johns, FL","2","Chain-type quantity indexes for real GDP",122.570
"12109","St. Johns, FL","3","Current-dollar GDP (thousands of current dollars)",7218927
"12111","St. Lucie, FL","1","Real GDP (thousands of chained 2012 dollars)",7824890
"12111","St. Lucie, FL","2","Chain-type quantity indexes for real GDP",108.838
"12111","St. Lucie, FL","3","Current-dollar GDP (thousands of current dollars)",8538802
"12113","Santa Rosa, FL","1","Real GDP (thousands of chained 2012 dollars)",3652174
"12113","Santa Rosa, FL","2","Chain-type quantity indexes for real GDP",107.767
"12113","Santa Rosa, FL","3","Current-dollar GDP (thousands of current dollars)",3942999
"12115","Sarasota, FL","1","Real GDP (thousands of chained 2012 dollars)",16423322
"12115","Sarasota, FL","2","Chain-type quantity indexes for real GDP",120.479
"12115","Sarasota, FL","3","Current-dollar GDP (thousands of current dollars)",17875929
"12117","Seminole, FL","1","Real GDP (thousands of chained 2012 dollars)",17812364
"12117","Seminole, FL","2","Chain-type quantity indexes for real GDP",116.182
"12117","Seminole, FL","3","Current-dollar GDP (thousands of current dollars)",19201831
"12119","Sumter, FL","1","Real GDP (thousands of chained 2012 dollars)",2280124
"12119","Sumter, FL","2","Chain-type quantity indexes for real GDP",114.152
"12119","Sumter, FL","3","Current-dollar GDP (thousands of current dollars)",2481619
"12121","Suwannee, FL","1","Real GDP (thousands of chained 2012 dollars)",1039424
"12121","Suwannee, FL","2","Chain-type quantity indexes for real GDP",96.210
"12121","Suwannee, FL","3","Current-dollar GDP (thousands of current dollars)",1042297
"12123","Taylor, FL","1","Real GDP (thousands of chained 2012 dollars)",841275
"12123","Taylor, FL","2","Chain-type quantity indexes for real GDP",121.339
"12123","Taylor, FL","3","Current-dollar GDP (thousands of current dollars)",929878
"12125","Union, FL","1","Real GDP (thousands of chained 2012 dollars)",301177
"12125","Union, FL","2","Chain-type quantity indexes for real GDP",94.747
"12125","Union, FL","3","Current-dollar GDP (thousands of current dollars)",332385
"12127","Volusia, FL","1","Real GDP (thousands of chained 2012 dollars)",15475305
"12127","Volusia, FL","2","Chain-type quantity indexes for real GDP",108.813
"12127","Volusia, FL","3","Current-dollar GDP (thousands of current dollars)",16814494
"12129","Wakulla, FL","1","Real GDP (thousands of chained 2012 dollars)",566868
"12129","Wakulla, FL","2","Chain-type quantity indexes for real GDP",99.947
"12129","Wakulla, FL","3","Current-dollar GDP (thousands of current dollars)",625332
"12131","Walton, FL","1","Real GDP (thousands of chained 2012 dollars)",2317833
"12131","Walton, FL","2","Chain-type quantity indexes for real GDP",120.804
"12131","Walton, FL","3","Current-dollar GDP (thousands of current dollars)",2545680
"12133","Washington, FL","1","Real GDP (thousands of chained 2012 dollars)",470907
"12133","Washington, FL","2","Chain-type quantity indexes for real GDP",97.805
"12133","Washington, FL","3","Current-dollar GDP (thousands of current dollars)",517421
"13001","Appling, GA","1","Real GDP (thousands of chained 2012 dollars)",1406512
"13001","Appling, GA","2","Chain-type quantity indexes for real GDP",98.376
"13001","Appling, GA","3","Current-dollar GDP (thousands of current dollars)",1518826
"13003","Atkinson, GA","1","Real GDP (thousands of chained 2012 dollars)",213898
"13003","Atkinson, GA","2","Chain-type quantity indexes for real GDP",121.564
