GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",10185420,10705653,10884444,11281669,11464268,11656233,12202818,12162260,12222986,12878082,13516802,14278932,14858022,15296628,16270044,16864533,17559927,18289259
 "42000","Pennsylvania",2,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",11492453,12485388,12196307,12745826,13325531,13643057,13613882,13470350,13129412,13176106,13343607,13836471,13987087,14620719,15496016,15724381,16066111,17029543
 "42000","Pennsylvania",2,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",46104464,48746551,51269070,54290655,56188253,58537431,61432745,63688005,65044087,66606187,66114735,65731071,68309006,69301423,70828944,71693026,73196620,75309146
 "42000","Pennsylvania",2,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",4666448,4147596,4949346,5956754,6576804,7175893,8380101,9192974,9007140,11487220,14766118,15589554,17613369,22219101,15890944,14409494,19364149,20730244
 "42000","Pennsylvania",2,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",52642336,53665550,57175244,60088093,63164571,65472987,66370943,66343975,65079638,68306550,70820379,73110752,75220969,76513222,79050224,78586514,79665963,81750383
 "42000","Pennsylvania",2,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",22079693,21632560,22627468,23985690,24690811,26030204,26542417,26983840,27316425,29850400,31513131,31213802,31608928,33172269,36790689,38012024,39348365,42400663
 "42000","Pennsylvania",2,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "42000","Pennsylvania",2,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",97277711,97635487,98231559,98107123,101063757,106968216,109953619,110155355,102672328,106442045,111397622,114000097,121970326,135264699,131072528,128966522,137007460,145476866
 "42000","Pennsylvania",2,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",281583001,290603434,305606121,329341127,348332565,360890630,389367078,408396861,409663419,426264556,441475294,461586127,473621458,486621347,509303903,525504368,534086053,562381767
 "42001","Adams, PA",2,CAGDP2,1,"...","All industry total","Thousands of dollars",1976223,2162630,2200538,2292666,2459406,2679248,2770684,2876358,2964524,2985872,3117380,3256380,3374281,3447225,3562553,3602628,3830237,3906093
 "42001","Adams, PA",2,CAGDP2,2,"..."," Private industries","Thousands of dollars",1762308,1923363,1938140,2017164,2164708,2353889,2421742,2512865,2592772,2603342,2739067,2884156,2993810,3062795,3168653,3203387,3421213,3480215
 "42001","Adams, PA",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",26616,116632,18350,20017,18437,47693,19305,146481,170072,129026,123800,154897,130876,129730,117201,87450,183312,82738
 "42001","Adams, PA",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",27740,29476,34201,16453,18560,21270,20194,19743,19714,16469,15853,14803,12501,14938,19291,60992,74282,78747
 "42001","Adams, PA",2,CAGDP2,10,"22","  Utilities","Thousands of dollars",4185,4178,7934,15661,27284,29938,45641,41560,77495,97578,180036,178570,174406,164037,219850,198443,218875,240706
 "42001","Adams, PA",2,CAGDP2,11,"23","  Construction","Thousands of dollars",160633,167330,179572,187294,191843,192660,187269,175315,126598,140141,148095,162959,167526,176642,168574,181235,206994,205465
 "42001","Adams, PA",2,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",500174,505909,523853,526744,578657,683545,691686,660542,668201,637097,633123,686884,732811,769809,780579,776079,779797,811779
 "42001","Adams, PA",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",211351,204106,216389,236028,245970,278831,283180,247828,181450,168885,188833,195486,227742,224342,222069,212666,220742,244887
 "42001","Adams, PA",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",288823,301802,307464,290716,332687,404714,408506,412714,486751,468211,444290,491398,505068,545467,558511,563413,559055,566892
 "42001","Adams, PA",2,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",117564,125601,137362,131878,148721,113217,90246,79880,66860,71015,70537,66723,66031,69076,72910,67842,68359,69753
 "42001","Adams, PA",2,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",134627,142469,154674,162558,183518,193520,190597,180612,178875,186080,187683,186634,185604,179468,187834,192896,196669,203790
 "42001","Adams, PA",2,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",57199,56724,68249,76436,75161,77130,83646,86133,86630,92947,107447,109115,118687,124185,153254,159379,178792,200999
 "42001","Adams, PA",2,CAGDP2,45,"51","  Information","Thousands of dollars",35265,41375,45762,53256,53745,48776,64764,66402,70386,78710,80457,101288,116778,99809,76251,74882,76668,84148
 "42001","Adams, PA",2,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",286422,283672,290843,304213,318865,369304,422280,404425,442497,444096,458006,457206,464886,482823,485139,496202,510437,533526
 "42001","Adams, PA",2,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",69577,64536,60464,58492,64020,61212,73628,52979,57187,56002,56555,58064,64424,71544,75029,77054,76972,76437
