13201,"Miller, GA",167043
13205,"Mitchell, GA",714922
13207,"Monroe, GA",1620927
13209,"Montgomery, GA",145285
13211,"Morgan, GA",611589
13213,"Murray, GA",1314181
13215,"Muscogee, GA",9211393
13217,"Newton, GA",2314079
13219,"Oconee, GA",1150377
13221,"Oglethorpe, GA",326088
13223,"Paulding, GA",2123522
13225,"Peach, GA",901372
13227,"Pickens, GA",870918
13229,"Pierce, GA",348060
13231,"Pike, GA",264694
13233,"Polk, GA",1117842
13235,"Pulaski, GA",255801
13237,"Putnam, GA",427165
13239,"Quitman, GA",44573
13241,"Rabun, GA",441871
13243,"Randolph, GA",359271
13245,"Richmond, GA",11263690
13247,"Rockdale, GA",3279733
13249,"Schley, GA",106081
13251,"Screven, GA",308010
13253,"Seminole, GA",247484
13255,"Spalding, GA",1844851
13257,"Stephens, GA",824162
13259,"Stewart, GA",113152
13261,"Sumter, GA",982836
13263,"Talbot, GA",134044
13265,"Taliaferro, GA",40701
13267,"Tattnall, GA",580275
13269,"Taylor, GA",199898
13271,"Telfair, GA",381779
13273,"Terrell, GA",237904
13275,"Thomas, GA",2001174
13277,"Tift, GA",1641382
13279,"Toombs, GA",891694
13281,"Towns, GA",282042
13283,"Treutlen, GA",116794
13285,"Troup, GA",3602164
13287,"Turner, GA",186514
13289,"Twiggs, GA",211419
13291,"Union, GA",598408
13293,"Upson, GA",606611
13295,"Walker, GA",1286265
13297,"Walton, GA",2155338
13299,"Ware, GA",1235105
13301,"Warren, GA",165502
13303,"Washington, GA",562100
13305,"Wayne, GA",680210
13307,"Webster, GA",60564
13309,"Wheeler, GA",121901
13311,"White, GA",613669
13313,"Whitfield, GA",5417769
13315,"Wilcox, GA",134330
13317,"Wilkes, GA",298943
13319,"Wilkinson, GA",445445
13321,"Worth, GA",319232
19001,"Adair, IA",315310
19003,"Adams, IA",302511
19005,"Allamakee, IA",593313
19007,"Appanoose, IA",359058
19009,"Audubon, IA",236395
19011,"Benton, IA",660277
19013,"Black Hawk, IA",6835480
19015,"Boone, IA",910775
19017,"Bremer, IA",1092552
19019,"Buchanan, IA",591005
19021,"Buena Vista, IA",1384319
19023,"Butler, IA",764111
19025,"Calhoun, IA",460719
19027,"Carroll, IA",1296807
19029,"Cass, IA",621439
19031,"Cedar, IA",505210
19033,"Cerro Gordo, IA",2383966
19035,"Cherokee, IA",900002
19037,"Chickasaw, IA",773455
19039,"Clarke, IA",372653
19041,"Clay, IA",882288
19043,"Clayton, IA",811869
19045,"Clinton, IA",2089255
19047,"Crawford, IA",694175
19049,"Dallas, IA",4746397
19051,"Davis, IA",223490
19053,"Decatur, IA",188600
19055,"Delaware, IA",781261
19057,"Des Moines, IA",2196937
19059,"Dickinson, IA",852238
19061,"Dubuque, IA",5073477
19063,"Emmet, IA",369340
19065,"Fayette, IA",699973
19067,"Floyd, IA",706885
19069,"Franklin, IA",677570
19071,"Fremont, IA",238303
19073,"Greene, IA",418401
19075,"Grundy, IA",571645
19077,"Guthrie, IA",424237
19079,"Hamilton, IA",655830
19081,"Hancock, IA",664429
19083,"Hardin, IA",940470
19085,"Harrison, IA",516804
19087,"Henry, IA",744410
