Republicans Previous Year,Democrats Previous Year,Republicans Target Year,Democrats Target Year,White (Not Latino) Population,African American Population,Asian American Population,"Poverty Percent, All Ages",Average Unemployment %,1824tot_per,1824M_per,1824F_per,2544tot_per,2544M_per,2544F_per,4564tot_per,4564M_per,4564F_per,65tot_per,65M_per,65F_per,log_gdp
0.653,0.3,0.6970000000000001,0.28600000000000003,96.6,0.3,0.4,9.5,3.0,0.0811728946897908,0.04273198641158591,0.0384409082782049,0.2862506704809583,0.14661183622385124,0.1396388342571071,0.3379224030037547,0.17289468979080994,0.16502771321294477,0.29465403182549615,0.13034149830144823,0.16431253352404793,5.612191329245415
0.669,0.271,0.708,0.273,96.8,0.4,0.6,11.2,4.2,0.07759831460674158,0.042134831460674156,0.03546348314606742,0.26650280898876405,0.13553370786516855,0.1309691011235955,0.35674157303370785,0.17942415730337077,0.17731741573033707,0.2991573033707865,0.14185393258426968,0.15730337078651685,5.395474919101404
0.763,0.207,0.8109999999999999,0.179,96.6,0.4,0.2,23.8,7.5,0.09729524892236274,0.0480792004168443,0.04921604850551845,0.2950594476813036,0.14385865188764152,0.15120079579366208,0.3654966605087395,0.1822272748803941,0.1832693856283454,0.24214864288759413,0.11401638955994506,0.1281322533276491,5.827891792278849
0.6629999999999999,0.299,0.6629999999999999,0.322,89.5,1.4,0.7,8.8,4.9,0.11526170532126083,0.05796978647169903,0.05729191884956181,0.2684961022611727,0.13655401152374957,0.13194209073742313,0.35320534547039173,0.1734856921512613,0.1797196533191304,0.2630368469471747,0.12010361690795526,0.14293323003921948,6.549041537140908
0.5920000000000001,0.374,0.623,0.366,90.7,2.7,0.5,13.0,8.1,0.06314759382915036,0.03591987105687313,0.027227722772277228,0.22081510476629057,0.13314529127331337,0.0876698134929772,0.36501266405710336,0.19013354823854478,0.1748791158185586,0.35102463734745565,0.1768362882799908,0.1741883490674649,5.671984187271196
0.601,0.341,0.625,0.36,94.1,0.5,0.4,12.1,6.2,0.061878203195658725,0.03067530901416943,0.031202894181489298,0.1907597226409406,0.09586976183298161,0.094889960807959,0.3424027735905939,0.17282182695206513,0.1695809466385288,0.40495930057280677,0.20198974977389206,0.20296955079891468,5.65182247948028
0.364,0.59,0.35600000000000004,0.627,62.0,19.8,5.9,23.3,6.6,0.24902833017748263,0.11908277992697754,0.12994555025050508,0.3255614847296085,0.1622575355372949,0.1633039491923136,0.24751080388124339,0.11704884169709269,0.13046196218415068,0.17789938121166549,0.07825905759352039,0.09964032361814508,7.111076823160272
0.552,0.423,0.537,0.451,65.0,18.9,1.5,17.6,6.0,0.13536645351697,0.06343032275152295,0.07193613076544704,0.30957660146051685,0.1475878769533467,0.16198872450717017,0.335336183737561,0.16036929130878957,0.17496689242877142,0.21972076128495213,0.09300389723409891,0.12671686405085322,6.750043999241968
0.68,0.28,0.6859999999999999,0.303,96.0,0.3,0.4,14.9,9.3,0.054883413990321164,0.030246370435547735,0.024637043554773426,0.17157941047074352,0.088539375274967,0.0830400351957765,0.3598768147822261,0.17718873735151783,0.1826880774307083,0.4136603607567092,0.20820501539815223,0.20545534535855697,5.350484489331352
0.768,0.20800000000000002,0.7859999999999999,0.204,87.0,5.9,1.2,14.7,6.7,0.09051264980026631,0.0492676431424767,0.041245006657789615,0.29630492676431425,0.1618508655126498,0.13445406125166445,0.3579560585885486,0.18265645805592542,0.17529960053262317,0.25522636484687083,0.11537949400798934,0.1398468708388815,5.888884579552615
0.573,0.368,0.5870000000000001,0.4,84.2,7.2,0.1,13.0,6.9,0.08404337722695585,0.05538342370255616,0.02865995352439969,0.2673638006713142,0.1747998967208882,0.09256390395042603,0.3396591789310612,0.17725277562612962,0.16240640330493158,0.30893364317066874,0.1546604699199587,0.15427317325071005,5.354740204564798
0.596,0.35200000000000004,0.635,0.345,91.2,0.9,0.3,11.4,3.3,0.08667430316914854,0.04744177166857579,0.03923253150057274,0.2658457426498664,0.13745704467353953,0.12838869797632685,0.3408743795341733,0.17344406261932035,0.167430316914853,0.30660557464681176,0.14824360442917145,0.1583619702176403,5.779288335871233
0.613,0.325,0.616,0.364,88.7,1.3,0.6,10.8,3.6,0.10104130780258493,0.05302112621272907,0.04802018158985586,0.31589300201149106,0.15914117111009857,0.1567518309013925,0.35970127690786036,0.18066745940899948,0.1790338174988609,0.22336441327806364,0.10394185568385139,0.11942255759421223,6.604491194259942
0.727,0.249,0.745,0.245,87.3,2.4,0.2,21.0,5.7,0.07449453995026489,0.03622013190615202,0.038274408044112876,0.23407935993080334,0.12606768299275598,0.10801167693804736,0.35452481349335063,0.17353227375932534,0.1809925397340253,0.33690128662558116,0.1561249864850254,0.18077630014055573,5.507727722431327
0.4,0.564,0.39,0.595,79.1,12.7,3.5,12.5,5.9,0.10607576566087772,0.05271801526470683,0.05335775039617089,0.338672544549012,0.17152178131367032,0.16715076323534167,0.3174693169690502,0.15252579153326218,0.16494352543578797,0.23778237282106013,0.1010255974903787,0.13675677533068142,7.968409952927818
0.669,0.287,0.691,0.294,81.2,11.7,0.7,15.0,7.2,0.12621260731178433,0.07110158637568319,0.055111020936101145,0.3134581975424492,0.1619726347024436,0.15148556284000558,0.3256191430274287,0.1637733169327534,0.1618458260946753,0.2347100521183378,0.10437616505408387,0.13033388706425392,6.898745853953504
0.619,0.332,0.63,0.354,96.0,0.5,0.4,15.0,6.4,0.0831059720237322,0.043913212940106534,0.039192759083625656,0.26642414793642544,0.1378026070763501,0.12862154086007535,0.3568056818673942,0.17431033736087653,0.1824953445065177,0.29366419817244815,0.13498765752890737,0.15867654064354078,6.011313258361616
0.78,0.19899999999999998,0.7859999999999999,0.205,59.7,20.9,0.5,15.7,4.3,0.09624639076034648,0.06072077852636082,0.03552561223398567,0.3980964602716287,0.2883114105443268,0.1097850497273019,0.3204790931451182,0.20010694043417818,0.12037215271094001,0.18517805582290664,0.08653619933696931,0.09864185648593733,6.28120932318419
